donor_id,first_name,last_name,email,phone,address,city,state,zip_code,donor_type,join_date,membership_level
D0001,Jessica,Taylor,jessica.taylor229@email.com,342-555-2679,9035 Mountain Ct,City,OR,14165,Individual,2022-08-03,Supporting
D0002,Betty,Nelson,betty.nelson28@email.com,774-555-4257,9028 Canyon Way,City,MT,68878,Individual,2023-01-11,Supporting
D0003,James,Hernandez,james.hernandez715@email.com,632-555-6574,2647 Valley Ave,City,OR,23396,Individual,2018-02-12,Sportsman
D0004,Megan,Harris,megan.harris619@email.com,470-555-1711,7627 Meadow Dr,City,MT,59615,Individual,2023-03-08,Supporting
D0005,Daniel,Baker,daniel.baker907@email.com,570-555-4150,1239 Elk Way,City,MT,47930,Individual,2022-11-25,Supporting
D0006,Richard,Lewis,richard.lewis285@email.com,664-555-6977,6165 Trail Way,City,TX,97841,Individual,2016-10-28,Sportsman
D0007,Matthew,Jones,matthew.jones624@email.com,850-555-3803,4110 Ridge Trl,City,WY,59735,Individual,2020-12-27,Heritage
D0008,Jason,Flores,jason.flores225@email.com,901-555-6313,1016 Valley Rd,City,WY,51347,Individual,2024-06-14,Heritage
D0009,Kimberly,Roberts,kimberly.roberts323@email.com,417-555-9179,7617 Ridge St,City,ID,28301,Individual,2019-06-09,Supporting
D0010,Susan,Adams,susan.adams439@email.com,797-555-7543,3693 Ridge Trl,City,WY,21915,Individual,2019-01-22,Team Elk
D0011,Christopher,Hall,christopher.hall164@email.com,896-555-7916,1140 Canyon Ct,City,NM,88104,Individual,2021-09-08,Sportsman
D0012,Ashley,Smith,ashley.smith697@email.com,938-555-2876,8897 Pine St,City,TX,94012,Individual,2022-08-24,Team Elk
D0013,Mary,King,mary.king4@email.com,939-555-5315,3027 Meadow Dr,City,ID,91959,Individual,2020-08-12,Supporting
D0014,Donna,Wilson,donna.wilson157@email.com,582-555-3646,8789 Elk Ave,City,WY,74042,Individual,2021-01-18,Team Elk
D0015,Rachel,Lee,rachel.lee246@email.com,259-555-4946,9395 Mountain Dr,City,MT,73699,Individual,2024-11-05,Heritage
D0016,Sandra,Rodriguez,sandra.rodriguez132@email.com,875-555-8787,2805 Creek Ct,City,AZ,37760,Individual,2021-03-01,Life
D0017,Jason,Wilson,jason.wilson731@email.com,519-555-7537,6218 Peak Trl,City,NV,25860,Individual,2022-07-14,Sportsman
D0018,John,Adams,john.adams568@email.com,435-555-4608,1263 Lake Rd,City,WY,40007,Individual,2015-01-30,Supporting
D0019,Donald,Jones,donald.jones527@email.com,443-555-5562,8053 Valley Ln,City,MT,84847,Individual,2022-07-03,Supporting
D0020,Nancy,Walker,nancy.walker195@email.com,296-555-2588,7162 Trail Ct,City,OR,63883,Individual,2022-05-23,Supporting
D0021,Ryan,Rivera,ryan.rivera662@email.com,300-555-1993,5659 Pine Dr,City,CO,42591,Individual,2019-07-08,Team Elk
D0022,Thomas,Young,thomas.young188@email.com,485-555-8579,1335 Peak Dr,City,WY,16630,Individual,2017-10-20,Team Elk
D0023,James,Garcia,james.garcia949@email.com,971-555-4872,6758 Peak Trl,City,WA,38016,Individual,2016-11-12,Team Elk
D0024,Mary,Lewis,mary.lewis3@email.com,599-555-5345,7554 Creek Ct,City,UT,82845,Individual,2023-10-17,Heritage
D0025,Jennifer,Martin,jennifer.martin223@email.com,259-555-9883,5238 Elk Rd,City,WA,86569,Individual,2015-09-07,Team Elk
D0026,Margaret,Hernandez,margaret.hernandez59@email.com,720-555-2312,3144 Mountain Dr,City,CO,98501,Individual,2024-07-19,Heritage
D0027,Kimberly,Taylor,kimberly.taylor593@email.com,808-555-1651,1443 Canyon Ave,City,UT,44179,Individual,2021-12-11,Supporting
D0028,Barbara,Moore,barbara.moore406@email.com,334-555-5915,5280 Pine Dr,City,WY,11220,Individual,2020-02-16,Team Elk
D0029,Richard,Jones,richard.jones551@email.com,418-555-9288,2270 Trail Dr,City,CO,42018,Individual,2017-12-22,Life
D0030,Rachel,Hill,rachel.hill721@email.com,509-555-9666,9186 Creek Dr,City,ID,27601,Individual,2015-02-02,Supporting
D0031,Tyler,Flores,tyler.flores160@email.com,478-555-5616,3550 Lake Ave,City,WY,36685,Individual,2021-10-13,Heritage
D0032,Betty,Scott,betty.scott258@email.com,252-555-2512,7039 Aspen St,City,WA,15778,Individual,2022-02-11,Sportsman
D0033,Daniel,Moore,daniel.moore166@email.com,959-555-8239,7107 Meadow Rd,City,MT,24663,Individual,2021-03-09,Sportsman
D0034,Christopher,Hill,christopher.hill37@email.com,578-555-3426,2188 Elk St,City,MT,57795,Individual,2019-10-27,Heritage
D0035,Robert,Harris,robert.harris216@email.com,898-555-5088,1784 Trail Ct,City,NV,91351,Individual,2022-06-24,Sportsman
D0036,Barbara,Hernandez,barbara.hernandez820@email.com,381-555-7755,3038 Lake Ave,City,NM,63964,Individual,2015-04-12,Heritage
D0037,Stephanie,Taylor,stephanie.taylor274@email.com,363-555-2771,734 Aspen Trl,City,AZ,39154,Individual,2019-04-16,Sportsman
D0038,Steven,Lee,steven.lee841@email.com,433-555-4652,3264 Canyon Ave,City,WY,46517,Individual,2015-04-07,Heritage
D0039,Jessica,Harris,jessica.harris657@email.com,721-555-7548,8885 Trail Rd,City,UT,25118,Individual,2022-08-15,Life
D0040,Emily,Moore,emily.moore40@email.com,311-555-8119,5239 Canyon Dr,City,UT,60488,Individual,2018-11-16,Supporting
D0041,Robert,Roberts,robert.roberts447@email.com,201-555-9518,8921 River Way,City,NV,57739,Individual,2024-01-17,Supporting
D0042,Donald,Baker,donald.baker322@email.com,879-555-3041,5020 Meadow St,City,CO,97410,Individual,2023-01-27,Heritage
D0043,Sarah,Flores,sarah.flores131@email.com,396-555-7888,6311 River Ln,City,ID,90676,Individual,2022-06-16,Supporting
D0044,Rachel,Smith,rachel.smith312@email.com,493-555-4443,9602 Forest Ave,City,CO,70946,Individual,2019-10-27,Supporting
D0045,Betty,Wright,betty.wright813@email.com,953-555-3780,1489 Creek Ave,City,CO,22240,Individual,2022-05-22,Team Elk
D0046,Ryan,Lee,ryan.lee231@email.com,403-555-3414,857 Valley Trl,City,AZ,90120,Individual,2015-04-11,Sportsman
D0047,Kenneth,Hall,kenneth.hall590@email.com,399-555-7291,6647 Valley Ln,City,UT,95990,Individual,2020-07-17,Supporting
D0048,Scott,Miller,scott.miller798@email.com,635-555-4585,8586 Peak Rd,City,WA,83060,Individual,2016-12-21,Heritage
D0049,George,Rodriguez,george.rodriguez821@email.com,675-555-9702,9855 Trail Trl,City,WY,90301,Individual,2021-04-08,Sportsman
D0050,Kevin,Flores,kevin.flores457@email.com,362-555-8777,4346 Pine Way,City,AZ,93579,Individual,2020-01-18,Heritage
D0051,Lisa,Hall,lisa.hall245@email.com,481-555-8206,4781 Valley St,City,WY,54020,Individual,2015-11-14,Sportsman
D0052,Thomas,Martinez,thomas.martinez237@email.com,592-555-3503,3605 Mountain Ct,City,ID,63424,Individual,2022-12-03,Team Elk
D0053,Michael,Anderson,michael.anderson853@email.com,630-555-7381,9669 Lake Rd,City,ID,85456,Individual,2023-08-20,Team Elk
D0054,Steven,Lee,steven.lee772@email.com,599-555-7865,9047 Pine Way,City,ID,73993,Individual,2021-01-13,Supporting
D0055,John,Lewis,john.lewis345@email.com,884-555-7624,2804 Aspen Trl,City,WY,26728,Individual,2023-02-14,Supporting
D0056,Joshua,Adams,joshua.adams578@email.com,878-555-1444,7122 Ridge Trl,City,TX,33819,Individual,2015-12-10,Team Elk
D0057,Linda,King,linda.king335@email.com,545-555-7211,7006 Creek Dr,City,MT,71644,Individual,2018-02-13,Supporting
